Ref,Val,Package,PosX,PosY,Rot,Side
"D10","LED","LED_0805_2012Metric",121.000000,-85.500000,-90.000000,bottom
"R31","150R","R_0603_1608Metric",121.005000,-90.000000,-90.000000,bottom
"Blue1","R_Potentiometer_Trim","Potentiometer_Bourns_3314G_Vertical",117.150000,-95.750000,0.000000,top
"D1","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",91.500000,-70.300000,0.000000,top
"D2","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",91.500000,-78.500000,0.000000,top
"D3","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",91.500000,-85.800000,0.000000,top
"D4","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",103.000000,-70.000000,0.000000,top
"D5","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",103.000000,-78.200000,0.000000,top
"D6","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",103.000000,-85.500000,0.000000,top
"D7","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",114.000000,-70.000000,0.000000,top
"D8","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",114.000000,-78.200000,0.000000,top
"D9","Inolux_IN-P55TATRGB","LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm",114.000000,-85.500000,0.000000,top
"Green1","R_Potentiometer_Trim","Potentiometer_Bourns_3314G_Vertical",114.000000,-61.500000,90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-17",105.246000,-99.500000,0.000000,top
"Q1","BC847","SOT-23",96.450000,-93.500000,-90.000000,top
"Q2","BC847","SOT-23",92.000000,-93.500000,-90.000000,top
"Q3","BC847","SOT-23",87.550000,-93.500000,-90.000000,top
"R1","100R","R_0603_1608Metric",85.000000,-73.000000,180.000000,top
"R2","150R","R_0603_1608Metric",85.000000,-70.420000,180.000000,top
"R3","100R","R_0603_1608Metric",85.000000,-67.910000,180.000000,top
"R4","100R","R_0603_1608Metric",85.000000,-81.010000,180.000000,top
"R5","150R","R_0603_1608Metric",85.000000,-78.500000,180.000000,top
"R6","100R","R_0603_1608Metric",85.000000,-75.990000,180.000000,top
"R7","100R","R_0603_1608Metric",85.000000,-88.510000,180.000000,top
"R8","150R","R_0603_1608Metric",85.000000,-86.000000,180.000000,top
"R9","100R","R_0603_1608Metric",85.000000,-83.490000,180.000000,top
"R10","100R","R_0603_1608Metric",97.500000,-72.510000,180.000000,top
"R11","150R","R_0603_1608Metric",97.500000,-70.000000,180.000000,top
"R12","100R","R_0603_1608Metric",97.500000,-67.490000,180.000000,top
"R13","100R","R_0603_1608Metric",97.675000,-80.510000,180.000000,top
"R14","150R","R_0603_1608Metric",97.675000,-78.000000,180.000000,top
"R15","100R","R_0603_1608Metric",97.675000,-75.490000,180.000000,top
"R16","100R","R_0603_1608Metric",97.500000,-88.010000,180.000000,top
"R17","150R","R_0603_1608Metric",97.500000,-85.500000,180.000000,top
"R18","100R","R_0603_1608Metric",97.500000,-82.990000,180.000000,top
"R19","100R","R_0603_1608Metric",108.500000,-72.510000,180.000000,top
"R20","150R","R_0603_1608Metric",108.500000,-70.000000,180.000000,top
"R21","100R","R_0603_1608Metric",108.500000,-67.490000,180.000000,top
"R22","100R","R_0603_1608Metric",108.675000,-80.510000,180.000000,top
"R23","150R","R_0603_1608Metric",108.675000,-78.000000,180.000000,top
"R24","100R","R_0603_1608Metric",108.675000,-75.490000,180.000000,top
"R25","100R","R_0603_1608Metric",108.500000,-88.010000,180.000000,top
"R26","150R","R_0603_1608Metric",108.500000,-85.500000,180.000000,top
"R27","100R","R_0603_1608Metric",108.500000,-82.990000,180.000000,top
"R28","1000R","R_0603_1608Metric",95.500000,-98.500000,90.000000,top
"R29","1000R","R_0603_1608Metric",92.500000,-98.500000,90.000000,top
"R30","1000R","R_0603_1608Metric",89.500000,-98.500000,90.000000,top
"Red1","R_Potentiometer_Trim","Potentiometer_Bourns_3314G_Vertical",87.000000,-61.000000,90.000000,top
